1 	logo The Jackson 4 	Loss 	60.82 - 74.32 	Recap
2 	logo Meowseph Stalin 	Loss 	88.10 - 92.72 	Recap
3 	logo Analrapists 	Loss 	78.56 - 106.56 	Recap
4 	logo All I do is Winston 	Win 	77.42 - 57.38 	Recap
5 	logo Ballstothewall 	Loss 	79.04 - 97.56 	Recap
6 	logo Bone G 	Loss 	79.22 - 99.16 	Recap
7 	logo Valdes-Scantling LLP 	Loss 	65.20 - 131.16 	Recap
8 	logo Okayest FC 	Loss 	113.26 - 116.18 	Recap
9 	logo RedTube Zone 	Loss 	115.66 - 132.34 	Recap
10 	logo Spruce Moose 	Win 	84.78 - 83.98 	Recap
11 	logo Super Mariota Bros. 	Loss 	81.12 - 106.46 	Recap
12 	logo The Jackson 4 	Win 	106.24 - 72.84 	Recap
13 	logo Meowseph Stalin 	Win 	111.76 - 89.04 	Recap
14 	logo Analrapists 	Win 	110.26 - 101.52 	Recap