1 	logo Super Mariota Bros. 	Loss 	90.82 - 100.56 	Recap
2 	logo The Jackson 4 	Win 	102.76 - 66.14 	Recap
3 	logo Meowseph Stalin 	Win 	126.62 - 109.68 	Recap
4 	logo Analrapists 	Loss 	97.08 - 107.00 	Recap
5 	logo andrew's Team 	Win 	97.56 - 79.04 	Recap
6 	logo All I do is Winston 	Loss 	104.12 - 110.54 	Recap
7 	logo Bone G 	Win 	115.18 - 104.66 	Recap
8 	logo Valdes-Scantling LLP 	Loss 	108.70 - 148.08 	Recap
9 	logo Okayest FC 	Loss 	68.44 - 71.68 	Recap
10 	logo RedTube Zone 	Loss 	106.42 - 117.28 	Recap
11 	logo Spruce Moose 	Loss 	119.54 - 129.96 	Recap
12 	logo Super Mariota Bros. 	Loss 	79.46 - 85.74 	Recap
13 	logo The Jackson 4 	Win 	113.54 - 67.72 	Recap
14 	logo Meowseph Stalin 	Win 	97.70 - 70.78 	Recap