1 	logo All I do is Winston 	Win 	77.62 - 57.00 	Recap
2 	logo RedTube Zone 	Win 	103.86 - 86.26 	Recap
3 	logo Spruce Moose 	Loss 	94.54 - 109.14 	Recap
4 	logo Super Mariota Bros. 	Loss 	84.32 - 110.60 	Recap
5 	logo The Jackson 4 	Win 	90.02 - 79.06 	Recap
6 	logo Meowseph Stalin 	Loss 	97.42 - 101.42 	Recap
7 	logo Analrapists 	Loss 	83.76 - 101.14 	Recap
8 	logo andrew's Team 	Win 	116.18 - 113.26 	Recap
9 	logo Ballstothewall 	Win 	71.68 - 68.44 	Recap
10 	logo Bone G 	Win 	85.28 - 59.78 	Recap
11 	logo Valdes-Scantling LLP 	Win 	97.16 - 42.50 	Recap
12 	logo All I do is Winston 	Loss 	84.88 - 92.36 	Recap
13 	logo RedTube Zone 	Loss 	81.40 - 98.30 	Recap
14 	logo Spruce Moose 	Win 	103.56 - 65.60 	Recap