1 	logo Okayest FC 	Loss 	57.00 - 77.62 	Recap
2 	logo Analrapists 	Win 	92.58 - 92.02 	Recap
3 	logo RedTube Zone 	Loss 	93.48 - 107.04 	Recap
4 	logo andrew's Team 	Loss 	57.38 - 77.42 	Recap
5 	logo Spruce Moose 	Loss 	43.56 - 127.92 	Recap
6 	logo Ballstothewall 	Win 	110.54 - 104.12 	Recap
7 	logo Super Mariota Bros. 	Win 	94.12 - 59.86 	Recap
8 	logo Bone G 	Loss 	44.80 - 62.06 	Recap
9 	logo The Jackson 4 	Loss 	89.32 - 91.56 	Recap
10 	logo Valdes-Scantling LLP 	Win 	112.12 - 85.86 	Recap
11 	logo Meowseph Stalin 	Win 	90.08 - 69.66 	Recap
12 	logo Okayest FC 	Win 	92.36 - 84.88 	Recap
13 	logo Analrapists 	Loss 	88.80 - 96.70 	Recap
14 	logo RedTube Zone 	Loss 	72.20 - 110.48 	Recap