1 	logo Bone G 	Win 	132.90 - 75.86 	Recap
2 	logo Valdes-Scantling LLP 	Loss 	68.82 - 105.90 	Recap
3 	logo Okayest FC 	Win 	109.14 - 94.54 	Recap
4 	logo RedTube Zone 	Loss 	62.20 - 114.40 	Recap
5 	logo All I do is Winston 	Win 	127.92 - 43.56 	Recap
6 	logo Super Mariota Bros. 	Loss 	80.50 - 120.24 	Recap
7 	logo The Jackson 4 	Win 	129.04 - 71.86 	Recap
8 	logo Meowseph Stalin 	Win 	110.38 - 73.20 	Recap
9 	logo Analrapists 	Loss 	90.72 - 105.00 	Recap
10 	logo andrew's Team 	Loss 	83.98 - 84.78 	Recap
11 	logo Ballstothewall 	Win 	129.96 - 119.54 	Recap
12 	logo Bone G 	Loss 	59.30 - 88.80 	Recap
13 	logo Valdes-Scantling LLP 	Win 	95.90 - 78.00 	Recap
14 	logo Okayest FC 	Loss 	65.60 - 103.56 	Recap