1 	logo Meowseph Stalin 	Win 	137.72 - 93.86 	Recap
2 	logo All I do is Winston 	Loss 	92.02 - 92.58 	Recap
3 	logo andrew's Team 	Win 	106.56 - 78.56 	Recap
4 	logo Ballstothewall 	Win 	107.00 - 97.08 	Recap
5 	logo Bone G 	Loss 	105.14 - 137.62 	Recap
6 	logo Valdes-Scantling LLP 	Win 	85.42 - 46.06 	Recap
7 	logo Okayest FC 	Win 	101.14 - 83.76 	Recap
8 	logo RedTube Zone 	Loss 	86.04 - 105.56 	Recap
9 	logo Spruce Moose 	Win 	105.00 - 90.72 	Recap
10 	logo Super Mariota Bros. 	Win 	132.94 - 108.08 	Recap
11 	logo The Jackson 4 	Loss 	79.28 - 80.06 	Recap
12 	logo Meowseph Stalin 	Win 	102.42 - 97.18 	Recap
13 	logo All I do is Winston 	Win 	96.70 - 88.80 	Recap
14 	logo andrew's Team 	Loss 	101.52 - 110.26 	Recap